date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:13	26867/26867	---M-Z	200	added ('OK')	text/html	etag:%22532ae622c272d51:0%22	https://madiratnam.com/home.html	C:/My%20Web%20Sites/maniratnam/madiratnam.com/home.html	(from )
16:08:15	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Feb%202020%2010:38:12%20GMT	https://madiratnam.com/robots.txt		(from )
16:08:16	58654/58654	---M-Z	200	added ('OK')	text/css	etag:%22b0e3dbdb4169d51:0%22	https://madiratnam.com/best1_files/style.css	C:/My%20Web%20Sites/maniratnam/madiratnam.com/best1_files/style.css	(from https://madiratnam.com/home.html)
16:08:17	49023/49023	---M-Z	200	added ('OK')	text/css	etag:%22c51fad94169d51:0%22	https://madiratnam.com/best1_files/menu.css	C:/My%20Web%20Sites/maniratnam/madiratnam.com/best1_files/menu.css	(from https://madiratnam.com/home.html)
16:08:19	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Feb%202020%2010:38:15%20GMT	https://madiratnam.com/images/favicon.html	C:/My%20Web%20Sites/maniratnam/madiratnam.com/images/favicon.3.delayed	(from https://madiratnam.com/home.html)
16:08:20	72174/72174	---M-Z	200	added ('OK')	application/javascript	etag:%2287df65d74169d51:0%22	https://madiratnam.com/best1_files/jquery.min.js	C:/My%20Web%20Sites/maniratnam/madiratnam.com/best1_files/jquery.min.js	(from https://madiratnam.com/home.html)
16:08:21	6503/6503	---M-Z	200	added ('OK')	application/javascript	etag:%221dadddd94169d51:0%22	https://madiratnam.com/best1_files/modernizr.custom.86080.js	C:/My%20Web%20Sites/maniratnam/madiratnam.com/best1_files/modernizr.custom.86080.js	(from https://madiratnam.com/home.html)
16:08:23	20427/20427	---M--	200	added ('OK')	image/jpeg	etag:%2253b5b2abe267d51:0%22	https://madiratnam.com/images/logo_imgnb2.jpg	C:/My%20Web%20Sites/maniratnam/madiratnam.com/images/logo_imgnb2.jpg	(from https://madiratnam.com/home.html)
16:08:24	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Feb%202020%2010:38:21%20GMT	https://madiratnam.com/images/logo_diya.html	C:/My%20Web%20Sites/maniratnam/madiratnam.com/images/logo_diya.7.delayed	(from https://madiratnam.com/home.html)
16:08:25	16187/16187	---M--	200	added ('OK')	image/jpeg	etag:%2282642cabe267d51:0%22	https://madiratnam.com/images/logo_asmi.jpg	C:/My%20Web%20Sites/maniratnam/madiratnam.com/images/logo_asmi.jpg	(from https://madiratnam.com/home.html)
